slang,formal
mentiagakan,meniadakan
mesantren,memondok di pesantren
mesen,memesan
mesih,masih
miinn,admin
millionaire,jutawan
mimin,admin
minmin,admin
minta,meminta
mintain,memintakan
mintk,minta
minumkopiindonesia,minum kopi indonesia
miras,minuman keras
mkan,makan
mkanan,makanan
mkanya,makanya
mkn,makan
mknan,makanan
mkny,makanya
mknya,makanya
mmz,mas
mngkannya,makanya
mnisss,manis
mnt,minta
mnta,minta
mnum,minum
mo,mau
moh,tak mau
money,uang
mortgage,menggadaikan
mosok,masa
mrnghadapi,menghadapi
ms,masih
msa,masa
msalah,masalah
msg,masing
msh,masih
msi,masih
msih,masih
msk,masuk
mskn,masakan
msknya,masaknya
mslh,masalah
mslhnya,masalahnya
msuk,masuk
msyarakat,masyarakat
msyrakt,masyarakat
msyrkt,masyarakat
muhammadiah,muhammadiyah
muhammadiyahinggris,muhammadiyah inggris
muhammady,muhammadiyah
mulutmuharimaumu,mulutmu harimaumu
mw,mau
mz,mas
nadakah,adakah
nadalah,adalah
nambahh,bertambah
nambil,ambil
named,dinamakan
napada,kepada
nasbung,nasi bungkus
nasing,asing
nauk,lauk
nax,ingin
nbeli,beli
nbeliau,beliau
nbiadab,biadab
nbisa,bisa
nbuah,buah
nbuang,buang
nda,tidak
ndabisa,tidak bisa
ndadanya,dadanya
ndah,sudah
ndak,tidak
ndakda,tidak ada
ndakk,tidak
ndaripada,daripada
ndax,tidak
ndda,tidak
ndiantara,diantara
ndk,tidak
ndki,daerah khusus ibukota
nembak,menembak
nembakin,menembaki
nengga,tidak
nga,tidak
ngabilin,mengambilkan
ngabisa,tidak bisa
ngaboleh,tidak boleh
ngada,tidak ada
ngadain,mengadakan
ngadepin,menghadapi
ngadmin,admin
ngahok,ahoker
ngajelas,tidak jelas
ngak,tidak
ngakuadh,tidak kuat
ngakuat,tidak kuat
ngambil,mengambil
ngantar,mengantar
nganter,mengantar
nganterin,mengantarkan
ngausah,tidak usah
ngayah,tidak ya
ngebatalin,membatalkan
ngebokep,menonton bokep
ngebuang,membuang
ngedm,mengirim pesan
ngegemesin,menggemaskan
ngegmesin,menggemaskan
ngehargain,menghargai
ngejuangin,memperjuangkan
ngemesin,menggemaskan
ngeroket,meroket
ngg,tidak
ngga,tidak
nggax,tidak
nggeh,iya
nggih,iya
nggk,tidak
ngibadah,beribadah
ngibulnya,mengibulnya
ngin,ingin
ngk,tidak
ngmbl,mengambil
ngocol,kurang ajar
